REL_LABEL,REL_TOK,REL_FRAME
HAS_ATTRIBUTE,that has been made accessible to the public for guided visits,
HAS_FORM,of inverted v-profile,
HAS_FUNCTION,which delivers a flow of water whenever the head of water upstream rises above the top of the inverted u,which delivers
CONTAINS,water-filled,
DEFINED_AS,by combination with water,by
HAS_FORM,running down the maximum slope of the rock,
HAS_FORM,with sharp ribs between it and its neighbours,
HAS_SIZE,uniform fingertip width and depth,
HAS_FORM,dish-shaped depression,
HAS_LOCATION,on flatfish rock,on
HAS_FORM,its sides may overhang and carry solution flutes,
CONTAINS,"its bottom may have a cover of organic remains , silt , clay or rock fragments",may have a
HAS_LOCATION,running down the maximum slope of the rock,
HAS_SIZE,larger than a solution flute,larger than
HAS_FORM,increasing in depth and width down its length,
HAS_LOCATION,in cave enlargement,
HAS_CAUSE,formed erosionally or by weathering,formed|by
HAS_ATTRIBUTE,secondary,
HAS_LOCATION,formed in caves,formed in
HAS_LOCATION,in the top of a stalagmite,in the top of a
COMPOSITION_MEDIUM,"composed of 60 – 90% carbonate minerals , chiefly calcite",composed of
HAS_ATTRIBUTE,intrusive igneous,
HAS_FORM,vertical,
HAS_SIZE,1 – 2 m in diameter and up to 15 m deep,deep|in diameter
HAS_FORM,isolated,
COMPOSITION_MEDIUM,rise from the blanket sands,
HAS_LOCATION,in the northern section,
HAS_FORM,extreme form of karst,
HAS_CAUSE,"develops where dissolution rates , tectonic uplift , and alluviation maintain a critical balance",develops where
HAS_SIZE,10 – 100 m in diameter and up to 30 m in depth,in diameter
HAS_CAUSE,truncated by glaciation,
HAS_RESULT,often exposed at the surface,
CONTAINS,filled with shattered rock and sediment,filled with
HAS_LOCATION,underground,
HAS_FUNCTION,where streams sink underground,where
COMPOSITION_MEDIUM,in bouldery deposits such as glacial drift overlying limestone,in
HAS_FUNCTION,rapid downward,
HAS_LOCATION,"can be found in different positions in the caves , on the floor , or on the rocky walls",can be found in
HAS_FORM,assembled into extensive debris pseudokarst hillocks,
HAS_LOCATION,where buried ice melts in situ,where
COMPOSITION_MEDIUM,develops in debris,develops in
HAS_CAUSE,developing closed depressions,developing
HAS_CAUSE,reflect the changing water quality of the sinking streams,reflect
HAS_ATTRIBUTE,often characterized by substantial variation in water quality,often characterized by
HAS_LOCATION,in allogenic karst aquifers,in
HAS_CAUSE,Autogenic karst aquifers feed,
HAS_SIZE,of greater dimensions,of
HAS_FORM,sinking deep into the carbonate massive,
HAS_FORM,area with large joints,
HAS_FUNCTION,"through which the water circulates quickly , predominantly in the ver - tical direction , down to the groundwater level .",through which
HAS_CAUSE,fresh excavations in the bedrock,
HAS_RESULT,"rock bursts , spalling , and roof collapse",
HAS_FORM,"take on the form of stalactites , stalagmites , flowstone , and other forms",take on the form of
COMPOSITION_MEDIUM,in limestone,in
HAS_FUNCTION,through which water moves from sinkholes and sinking streams to the outlets at springs,through which
HAS_FORM,bowl-shaped,
COMPOSITION_MEDIUM,in solid rock,in
HAS_LOCATION,form on the sides of volcanoes,form on the
HAS_CAUSE,by the crusting over of channels .,by the
HAS_LOCATION,within streams of lava,within
HAS_CAUSE,by a process called inflation,by a process called
HAS_LOCATION,active sulfidic caves,
HAS_LOCATION,on subaerial cave-wall surfaces,on
CONTAINS,"includes channels and hollows of different types , such as fluvial valleys , dry valleys , blind valleys , uvalas , poljes , and karst dolines",includes
HAS_FORM,with perimeter walls that are close to vertical,with
HAS_SIZE,"at least 100 m long , wide and deep",wide|at least|long|deep
HAS_CAUSE,resulting from the collapse of the roof of submerged cavities,resulting from
HAS_FORM,open depressions,
HAS_FUNCTION,giving access to the water table,giving access
HAS_LOCATION,in the coastal karst belts,in the
HAS_CAUSE,caused by the subsiding of an area .,caused by the
HAS_CAUSE,"formed when an old cave system , partially or totally filled with sediments , is cut by the topographic surface as a consequence of the lowering of such a surface by chemical erosion",formed when
HAS_CAUSE,originated from the fusion of simpler forms,originated from
HAS_CAUSE,evolved through both the karst process and another morphogenetic process,evolved through
HAS_CAUSE,"has formed as the result of the collapse of the roof of a cave , of an underlying cave , or of an overhanging ledge",has formed as the result of
COMPOSITION_MEDIUM,composed of angular to rounded fragments of limestone or dolomite,composed of
HAS_CAUSE,formed by the collapse of tie roof of a cave,formed by
HAS_FORM,closed,
HAS_CAUSE,formed by the union of a stalactite and stalagmite,formed by
HAS_FORM,cylindrical,
HAS_LOCATION,subterranean,
HAS_ATTRIBUTE,filled completely with water and always under hydrostatic pressure,
HAS_FORM,characterized by star-shaped depressions,
HAS_LOCATION,at the feet of many steep-sided core-shaped hills,at the feet of
HAS_LOCATION,common in the tropicr,common in
COMPOSITION_MEDIUM,rimstone,
HAS_SIZE,large,
HAS_LOCATION,on a surface stream,on a
HAS_FORM,"hollow , cone-shaped",
HAS_CAUSE,"Subsequent erosion may remove the mud , isolating the calcite lining of the depression",
HAS_CAUSE,formed when a conical depression is drilled in cave mud by falling water,formed when
HAS_FORM,level and straight,
HAS_LOCATION,in a cave,
HAS_FUNCTION,links two or more rooms or chambers in a cave,in a
HAS_LOCATION,on the surface of the land,on the
HAS_FORM,Intersecting linear depressions,
HAS_CAUSE,by solution or chemical action,by
HAS_FORM,Narrow steep-sided,
HAS_LOCATION,flanking limestone plateaus,
HAS_CAUSE,resulting from the development of solution features in limestone covered by soil,resulting from
COMPOSITION_MEDIUM,"contrasted with naked karst , which is soil free",
HAS_LOCATION,subdued,
HAS_SIZE,that must be negotiated on hands and knees,
HAS_FORM,crescentic wall niche,
HAS_POSITION,in lowland New Guinea,
HAS_SIZE,Crevices may be as much as 6 meters across and 20 meters deep,as much as
HAS_LOCATION,near rivers,near
HAS_CAUSE,has formed by solution widening of closely spaced joints,has formed by
HAS_FORM,intricate irregular,
HAS_POSITION,Found in some Kentucky caves,Found in
DEFINED_AS,A fragile layer of flowstone,
HAS_FORM,looks like a flaky crust,looks like
HAS_LOCATION,covering portions of walls of caves,
CONTAINS,"in which much of the surface of the roof , walls , and floor is covered with well-formed mineral crystals",
CONTAINS,containing crystals,containing
HAS_LOCATION,In caves,In
HAS_FUNCTION,generally having little or no overflow,
HAS_FORM,having only one entry,
HAS_LOCATION,subterranean,
HAS_LOCATION,in stream beds,in
HAS_FORM,sharp-edged,
HAS_FORM,rounded-interior,
HAS_FORM,pattern of interweaving channels,pattern of
HAS_FORM,reticulate pattern,
HAS_LOCATION,in caves,in
HAS_LOCATION,hanging from passage ceilings,hanging from
HAS_SIZE,typically B10 — 100 cm in dimension,in dimension|typically
HAS_LOCATION,of thermal caves,
HAS_FORM,remnant rounded pinnacles,
HAS_FORM,some cavernous karren,
HAS_LOCATION,has formed under an acidic soil cover,has formed under an
HAS_FORM,often with a complex curved cross section,with a
HAS_ATTRIBUTE,not typically dissected by surface streams,
HAS_LOCATION,subterranean,
DEFINED_AS,"natural subterranean cavities , fissures , and fragments of conduit systems",
HAS_FUNCTION,are accessible to human exploration,
HAS_FORM,"occurs as short to long prismatic ( along c ) , acicular or tabular ( chisel-shaped ) crystals , often twinned",occurs as
HAS_FORM,orthorhombic,
COMPOSITION_MEDIUM,consisting mainly of manganese oxides,consisting mainly of
MEASURES,function in time of the initial aperture di ( m ) and the calcium flux rate F in a given fracture,
DEFINED_AS,changes in the gradient of a river ’ s long profile,
HAS_CAUSE,may form as a response to a sudden drop in the water table,may form as a response to
HAS_SIZE,is wide relative to its length,is wide
HAS_LOCATION,where passages intersect,where
HAS_FORM,"are circular , oval , or irregular in shape",in shape
HAS_FORM,form of vadose passage,
HAS_FORM,"elongate , nearly parallel crested forms",
HAS_LOCATION,in some cave passages,in
COMPOSITION_MEDIUM,limestone,
HAS_FORM,isolated from each other by flat limestone surfaces,isolated from
HAS_FUNCTION,to find out where the extremities of a cave lie and reduce cumulative errors in the survey,to find out where
MEASURES,fix an underground point to the corresponding point on the surface,
HAS_LOCATION,where towers are isolated,where
HAS_LOCATION,where groups of residual hills share a common exposed bedrock base,where
HAS_FUNCTION,to control the discharge regime of artificially stored water,to control
HAS_LOCATION,of most karst regions,of
COMPOSITION_MEDIUM,areas of polygonal karst where the whole surface is pitted by dolines,
HAS_LOCATION,they occur in association with large springs close to the margins of karst areas,close to
HAS_LOCATION,typically formed in karst environments,formed in
HAS_FUNCTION,with internal drainage,with
HAS_FORM,closed,
HAS_CAUSE,are formed due to coalescence of several dolines,formed due to
COMPOSITION_MEDIUM,made up of more than one doline,made up of
HAS_FORM,with undulating floors,with
HAS_FORM,floored by sinkholes,
HAS_FORM,with one or more low spots along its bottom,with
HAS_FORM,bowl shaped,
HAS_LOCATION,has been buried beneath younger sediments,beneath
HAS_FUNCTION,designed and maintained to filter sediments and pollutants,designed|maintained to
HAS_LOCATION,between the topographic surface and a depth of 0.5 to 7.0 km,between the
HAS_LOCATION,upper part of the karstosphere,upper part of the
HAS_LOCATION,along which movement has occurred or still occurs,along which
HAS_LOCATION,in the rocks of the earth's crust,in the
MEASURES,based on accumulation of damage trails left by nuclei that are expelled during fission decays of 238U,based on
HAS_LOCATION,encrust floors or walls,encrust
HAS_CAUSE,formed from thin films or trickles of water,formed from
COMPOSITION_MEDIUM,minerals are usually calcium carbonate,are usually
CONTAINS,the dominant physical landforms are valleys,
HAS_LOCATION,are a significant component of the epikarst,are a significant component of the
HAS_FORM,visible surface expression of the fissures of a karstifiable rock,visible surface expression of
HAS_CAUSE,"formation of caves by water that recharges the soluble formation from below ,",by
HAS_CAUSE,independent of the recharge from the overlying or immediately adjacent surface,independent of
HAS_CAUSE,driven by hydrostatic pressure or other sources of energy,driven by
MEASURES,at the point where the primary field amplitude peaks,
HAS_LOCATION,on exposed soluble rock surfaces,on
HAS_SIZE,range from 1 cm to 10 m in greatest dimension,range from
HAS_RESULT,as a result of which characteristic features develop on the Earth's surface and underground,as a result of which
HAS_CAUSE,interaction between soluble rocks and different waters,interaction between
HAS_CAUSE,differential chemical and mechanical erosion by water on soluble bodies of rock,by
HAS_LOCATION,at or near the Earth ’ s surface,at or near
HAS_CAUSE,indicates dissolution ( also called chemical solution ) of underlying soluble rocks by surface water or ground water,indicates
HAS_CAUSE,"distinctive type of landscape that develops from the dissolving action of water on soluble bedrock , primarily limestone and marble but also dolostone , gypsum and halite",develops from
HAS_CAUSE,formed by the dissolving of rock,formed by
COMPOSITION_MEDIUM,", underlain by limestone or dolomite",
CONTAINS,"characterised by sinkholes , sinking streams , closed depressions , subterranean drainage and caves",characterised by
HAS_LOCATION,"terrain , generally underlain by limestone or dolomite",underlain by
HAS_LOCATION,terrains underlain by soluble rock,underlain by
HAS_FUNCTION,important part of the mechanism for storage and transport of contaminants,important part of the mechanism
HAS_SIZE,between the highest and lowest levels that the water table fluctuates between,between
DEFINED_AS,relationship between the volume of limestone taken out of the system and the surface area of the affected region,relationship between the
HAS_FUNCTION,they are one of the rare formations that can support large-scale agriculture,
HAS_FORM,that terminates abruptly,terminates
HAS_LOCATION,at a point where the stream sinks,at a point where
HAS_FORM,intermediate,
HAS_CAUSE,where the action of water occurs only as it filters in through fractures,
COMPOSITION_MEDIUM,for example like in granites,in
HAS_CAUSE,sign of the current shaping of the surface by precipitation water that percolates vertically through it and passes through the vadose part of the aquifer to the underground water,sign of the
HAS_CAUSE,is the consequence of the type and shape of the cave,is the consequence of
COMPOSITION_MEDIUM,"various geological , geomorphological , climate , and hydrological conditions",
OCCURS_IN_TIME,"in various geological , geomorphological , climate , and hydrological conditions",
HAS_FUNCTION,natural source and a public and economic good,
HAS_LOCATION,on the majority of larger karst poljes,on the majority of
HAS_CAUSE,is the consequence of the difference in the volumes of inflowing and outflowing water,is the consequence of the
HAS_LOCATION,in rivers in the lower parts of river basins,in
HAS_FUNCTION,retainers of discharge surpluses,
HAS_CAUSE,natural,
HAS_FUNCTION,important regulators of water conditions,
HAS_LOCATION,on karstic surfaces,on
MEASURES,which can be measured at piezometers,can be measured
HAS_SIZE,of equal hydraulic head,
HAS_SIZE,large,
HAS_CAUSE,that were formed with slow collapsing of roofs,were formed with
HAS_LOCATION,above larger underground cavities,above
HAS_CAUSE,afterwards with transformation of slopes,
HAS_LOCATION,in karst terrains,in
HAS_CAUSE,"In instances where dissolution is the prevailing mechanism , a bowlshaped doline will probably form",
HAS_LOCATION,this occurs inside a pre-existing hydrogeological structure,occurs inside a
HAS_CAUSE,is triggered by a change of hydraulic conductivity due to lithological and structural factors .,is triggered by
HAS_CAUSE,that also originates from the centripetal convergence of water,originates from
CONTAINS,has a stream flowing in it,has a
HAS_LOCATION,on land,on
HAS_LOCATION,in coastal dune sands,in coastal
CONTAINS,containing a large proportion of calcareous sand from mollusc shells and other organic remains,containing a
HAS_FORM,denser and orthorhombic,
COMPOSITION_MEDIUM,of calcium carbonate,of
HAS_FORM,crystalline form,form
CONTAINS,with much exposed bedrock,with
HAS_ATTRIBUTE,referring to water moving with some speed,referring to
HAS_LOCATION,in the phreatic zone,in the
HAS_LOCATION,through downward looping passages,through
COMPOSITION_MEDIUM,of sedimentary bedrock or . unconsolidated sediment,of
HAS_CAUSE,as a result of solution along a bedding-plane,along a|as a result of
HAS_FORM,rectilinear,
HAS_LOCATION,along a bedding-plane,
HAS_FORM,narrow,
HAS_FUNCTION,"separating two beds , usually planar",
HAS_FORM,planar,
HAS_FORM,elongate in cross-section,
HAS_LOCATION,developed along a bedding-plane,along a
STUDIES,organisms living in caves,
HAS_FORM,vertical extension upwards,
HAS_SIZE,small in area in relation to its height,small
HAS_FORM,not reaching the surface,
HAS_FORM,closed abruptly at its lower end by a cliff or slope facing up the valley,
HAS_FORM,hole to the surface,
HAS_LOCATION,in the roof of a sea cave,in the
HAS_FUNCTION,through which waves force air and water,through which
HAS_POSITION,common in the nullarbor plain,common in
HAS_FORM,hole in the ground,
HAS_FUNCTION,"through which air blows in and out strongly , sometimes audibly",through which
HAS_FORM,dendritic,
HAS_FORM,branches join successively to form a major stream or passage,
CONTAINS,system of underground streams or passages,
COMPOSITION_MEDIUM,develops in carbonate coastlines,develops in
HAS_CAUSE,as a result of sea-water and freshwater mixing,as a result of
HAS_LOCATION,inside the coastline,inside
MEASURES,form ( shape ),
COMPOSITION_MEDIUM,in the limestone,in
HAS_FORM,follow major vertical fractures,
HAS_CAUSE,created by the doming,created by
HAS_POSITION,including Antarctica,
HAS_LOCATION,found on all continents,found on
OCCURS_IN_TIME,from the early Proterozoic to the Holocene,from|to
HAS_FORM,without roofs,
COMPOSITION_MEDIUM,paleokarst,
AFFECTS,underground mining operations,
HAS_RESULT,flooding hazard to underground mining operations .,
HAS_FUNCTION,important sources of water,
STUDIES,microscopic organic matter known as palynomorphs,
HAS_FUNCTION,provide important evidence about ancient environments,provide
HAS_FUNCTION,provides a picture of the flora close to the cave,provides
HAS_FUNCTION,enables environmental and climatic reconstruction,enables
HAS_RESULT,cave genesis within the phreatic zone is modified by influxes of sediment,
HAS_FORM,angular grids of intersecting fissures guided by fractures,
HAS_FORM,interconnect in a three-dimensional array like the holes in a sponge,
HAS_CAUSE,enlarged from primary pores cavities,
HAS_FORM,irregular cavities,
HAS_CAUSE,Large allogenic streams penetrate farther into the karst in well-defined valleys before they sink,
HAS_FORM,valleys usually terminate abruptly in a cliff or steep slope,
HAS_LOCATION,in the surface depression just above the ponor,
DEFINED_AS,temporary water accumulation in the surface depression just above the ponor,in
HAS_CAUSE,produced by some process other than dissolution,produced by
HAS_CAUSE,natural,
HAS_ATTRIBUTE,extending beyond daylight,
HAS_SIZE,large enough to enter and investigate,large enough
DEFINED_AS,"net radon production rate in the rock walls of a cave , or in unconsolidated sediment within the cave",
HAS_CAUSE,depends on the concentration of uranium ( which then decays to radium ) in the material,depends on
HAS_FORM,thick layer,
HAS_ATTRIBUTE,not translucent,
HAS_LOCATION,at the point where its stream disappears underground,at the point where
HAS_LOCATION,near the shore,near the
HAS_FUNCTION,through which air and water are forced by incoming waves,are forced by
HAS_LOCATION,on land,on
HAS_FUNCTION,"through which air blows in and out with observable force , sometimes audibly",
HAS_POSITION,in the surface of the Nullarbor Plain,in the
HAS_SIZE,small,
HAS_FUNCTION,water rises from below without great turbulence,water rises
HAS_LOCATION,drowned,
HAS_CAUSE,enlarged by solution of the limestone,enlarged by
HAS_SIZE,large,
HAS_FORM,turbulent,
CONTAINS,including much bone,
HAS_FORM,grapelike,
HAS_LOCATION,generally found on walls of caves,found on
COMPOSITION_MEDIUM,of calcium carbonate,of
HAS_LOCATION,in a normally dry valley in chalk country,in a
HAS_FUNCTION,Intermittent,
HAS_FORM,Network of thin blades,of
HAS_LOCATION,etched out in relief on the limestone walls and ceiling of a cave,
COMPOSITION_MEDIUM,of calcite or gypsum,
HAS_LOCATION,In a cave,In a
HAS_FORM,a residual rock span across a passage,
HAS_CAUSE,buried by younger sediments,
COMPOSITION_MEDIUM,composed of coral or shell sand or of grains derived from the disintegration and erosion of older limestones,composed of
HAS_SIZE,Size of particles ranges from 1 / 16 to 2 millimeters,ranges from
HAS_LOCATION,on cave walls or formations close to a light source .,on
DEFINED_AS,"number of visitors to a given cave over a given time period , which does not permanently change the environmental parameters beyond their natural fluctuation range",
HAS_CAUSE,derived from nonlocal sources,
DEFINED_AS,stream flow derived from nonlocal sources,derived from
DEFINED_AS,sea level or the lowest level of master stream erosion,
HAS_SIZE,small,
HAS_FORM,depressions,
HAS_SIZE,usually only a few meters in diameter and depth,in diameter and depth
HAS_FORM,may have different forms and surface expressions,may have different
DEFINED_AS,a group of several interconnected caves explored separately and later joined by the discovery of interconnecting passages,
HAS_CAUSE,"that recharges the cavernous zone from below , independent of recharge from the overlying or immediately adjacent surface water",
DEFINED_AS,formation of solution-enlarged permeability structures by water,
HAS_CAUSE,by-product of hypogene speleogenesis,by-product of
HAS_FORM,vertically extended collapse features,
HAS_CAUSE,result of dissolution of soluble rocks by groundwater,result of
HAS_LOCATION,"form on the ceilings , walls , and floors of caves .",form on the
HAS_FORM,hollow tubes,
HAS_FORM,often very coarsely crystalline with the straw axis corresponding to the c-axis direction of the calcite crystals,
HAS_SIZE,about 5 mm in diameter,in diameter
HAS_CAUSE,occurs when seepage rates are too slow for complete drops to form,occurs when
HAS_FORM,erratic stalactite-like form,
HAS_LOCATION,form in pools,form in
HAS_CAUSE,agitated by water dripping from considerable heights,agitated by
HAS_FORM,"near-spherical , unattached speleothem",
HAS_FORM,without a surface stream channel,without a
HAS_ATTRIBUTE,where water moves fast with turbulence,where
HAS_ATTRIBUTE,under hydrostatic pressure,under
HAS_CAUSE,"by mechanical and chemical actions of all moving agents , such as rivers , wind and glaciers",by
DEFINED_AS,wearing away of bedrock or sediment,
HAS_LOCATION,at the surface or in caves,at the
HAS_CAUSE,fed only by percolation water,fed only by
HAS_FUNCTION,separating two parts of a once continuous cock body with relative movement along the fault plane .,along the|separating
HAS_LOCATION,along the fault plane,
HAS_CAUSE,by movement of the fault,by
HAS_CAUSE,by preferential solution along it,by
HAS_LOCATION,developed along a fault or fault zone,along a
HAS_CAUSE,along which movement of a fault has taken place,along which
COMPOSITION_MEDIUM,in rock or soil,in
HAS_FORM,an open crack,
HAS_LOCATION,over floors or walls,over
HAS_CAUSE,formed from thin films or trickles of water,formed from
COMPOSITION_MEDIUM,usually of calcite,of
HAS_FUNCTION,used in water tracing and dye gauging,used in
MEASURES,for measuring the fluorescence of water,for measuring
HAS_LOCATION,formed within or beneath a glacier,formed within
HAS_LOCATION,in a rock outcrop,in a
HAS_FORM,deep,
HAS_FORM,rectilinear,
HAS_CAUSE,as a result of solution along a joint,as a result of
HAS_FORM,narrow,
HAS_FORM,vertical or steeply inclined,
HAS_FORM,elongated and curving,
COMPOSITION_MEDIUM,of gypsum,
HAS_LOCATION,on a cave surface,on a
HAS_RESULT,which overflows its threshold,
OCCURS_IN_TIME,when the streamsink cannot accept all the water at a time of flood,when
HAS_FORM,often meandering or anastomosing,often
HAS_LOCATION,in a cave surface,in a
HAS_FORM,"semi-eylindrical , elongate",
HAS_POSITION,of southern England,
COMPOSITION_MEDIUM,common in the chalk,common in
HAS_FORM,lacks a surface water channel,
HAS_LOCATION,above the phreatic zone,above
HAS_CAUSE,affected morphologically and hydrologically by floods,affected
HAS_LOCATION,in a cave system,
HAS_FUNCTION,intermittent resurgence or exsurgence,
HAS_FUNCTION,May act alternatively as a swallow hole and as a rising according to ground-water conditions,May act alternatively as
OCCURS_IN_TIME,active only in wet seasons,active only in
HAS_CAUSE,reexposed by erosion from bene ? th former covering strata,reexposed by
HAS_LOCATION,developed along a fault or fault zone,developed along
HAS_LOCATION,along a fissure,along a
HAS_FORM,narrow vertical,
HAS_FORM,"though wide , is so low that movement is only possible in a prone position",
COMPOSITION_MEDIUM,of pure calcium carbonate thin film,of
HAS_FORM,Very thin film,
HAS_LOCATION,floating on the surface of a subterranean pool of very calm water,floating on the surface of
COMPOSITION_MEDIUM,"of calcium carbonate , gypsum , and other mineral matter",of
HAS_CAUSE,on the walls or floors of caves,on
HAS_CAUSE,past or present fluvial activity,
HAS_FORM,deep wide vertical cavity,
HAS_FUNCTION,the swallow point of a river at the beginning of its underground course,
COMPOSITION_MEDIUM,in soluble rock,in
HAS_LOCATION,may or may not reach the surface,
HAS_FORM,vertical shaft,
HAS_FORM,tending toward cylindrical shape,shape
HAS_LOCATION,in alluvial plain,in
COMPOSITION_MEDIUM,limestone,
HAS_FORM,Isolated,
HAS_SIZE,rather large,
HAS_FORM,nearly horizontal,
HAS_LOCATION,in a cave,in a
COMPOSITION_MEDIUM,glaciated limestone,
HAS_ATTRIBUTE,possessing both glacial and karst characteristics,characteristics|possessing
HAS_FORM,"elongate depression , having steep sides , in which a generally flat floor is divided into small basins separated by low divides",
HAS_CAUSE,formed by dissolving,formed by
CONTAINS,such as a dome pit or a scallop,
STUDIES,"The scientific study , exploration , and description of caves and related features",
HAS_LOCATION,formed in caves,formed in
CONTAINS,such as stalactite or stalagmite,
HAS_FORM,sharply pointed,
CONTAINS,containing sharply pointed residual limestone hills,containing
HAS_FORM,shallow,
HAS_LOCATION,in the top of a stalagmite,in the top of a
HAS_SIZE,The cavities may be large or small,
HAS_FORM,A complex of irregular interconnecting cavities with intricate perforation of the rock,
HAS_FUNCTION,discharge of water,
HAS_LOCATION,from rock or soil onto the surface of the land or into a body of surface water,
HAS_SIZE,just passable with effort,passable with
HAS_FORM,narrow,
HAS_CAUSE,formed by dripping water,formed by
HAS_FORM,cylindrical or conical,
HAS_FORM,generally having a hollow tube at its center,at its center
HAS_LOCATION,hanging from the roof of a cave,
HAS_LOCATION,rising from the floor of a limestone cave,
COMPOSITION_MEDIUM,of calcium carbonate,
HAS_CAUSE,formed by precipitation from a bicarbonate solution through loss of CO2,
HAS_FORM,terminating at its upslope end in an amphitheater,
HAS_FORM,deeply cut,
HAS_SIZE,generally short,
HAS_FUNCTION,at the foot of which a stream may emerge,
HAS_FORM,Thin tubular,
HAS_SIZE,generally less than a centimeter in diameter and of very great length,in diameter
HAS_LOCATION,Point at which a surface stream sinks into the ground,
CONTAINS,"completely filled , or formerly filled , with fast-moving water",
CONTAINS,whose ceiling and walls normally possess scallops .,
HAS_FORM,elongate curved,
HAS_LOCATION,on a cave wall,on a
HAS_FORM,in which growth occurs at the attached end,
COMPOSITION_MEDIUM,deposit of gypsum or epsomite,deposit of
HAS_CAUSE,"formed by the accumulation , dripping , or flowing of water",formed by the
HAS_LOCATION,in a cave,in a
HAS_ATTRIBUTE,not interconnected but geographically associated in some relief feature or particular geological outcrop,
HAS_LOCATION,in caves,
HAS_CAUSE,"Accumulations of dung in caves , generally from bats",in
HAS_FORM,in some places partially mineralized,
HAS_LOCATION,in a cave,
HAS_CAUSE,formed in a cave by natural freezing of water,in a|formed|by
HAS_CAUSE,The collapse of the ceiling or side walls of a cave or of the land surface into a subterranean passage as a result of undermining or of pressure from above,as a result of
COMPOSITION_MEDIUM,deposit of calcite or aragonite,of
HAS_FORM,Banded,
HAS_FUNCTION,capable of taking a high polish,capable of
HAS_SIZE,Small,
HAS_CAUSE,formed by concentric precipitation around a nucleus,formed by
COMPOSITION_MEDIUM,of calcite or aragonite,
HAS_LOCATION,in a particular district,in a
DEFINED_AS,group of caves of similar morphology,
HAS_LOCATION,"in a cave , cave system",in a
HAS_LOCATION,underground,
COMPOSITION_MEDIUM,"network of passages , chambers , or other cavities",
DEFINED_AS,A cave,
HAS_SIZE,larger-than-average size,
HAS_FORM,joint - bounded,
HAS_FORM,cubical,
HAS_SIZE,large,
HAS_ATTRIBUTE,fallen from the ceiling of a cave,
HAS_CAUSE,Solutional,
HAS_LOCATION,in the ceiling of a cave,of a|in the
HAS_LOCATION,in a cave ceiling,in a
HAS_FORM,winding upside-down channel,
HAS_CAUSE,that has fallen from the ceiling of a cave in roughly horizontal limestone,
HAS_FORM,thin,
HAS_SIZE,extensive,
HAS_SIZE,the cavities may range from a few centimetres to more than a metre across,may range from a
HAS_FORM,"irregular , interconnecting cavities",
HAS_FORM,intricately perforating the rock,
HAS_LOCATION,from rock or soil onto the land surface or into a body of surface water,
HAS_CAUSE,natural,
HAS_FORM,of cylindrical or conical form,of|form
HAS_FORM,hanging downwards from a roof or wall,hanging downwards from
HAS_FORM,usually with a central hollow tube,
HAS_CAUSE,formed by precipitation from drips,formed by
HAS_FORM,projecting vertically upwards from a cave floor,projecting vertically upwards from
COMPOSITION_MEDIUM,in karst,in
HAS_FORM,steep-sided,
HAS_LOCATION,where a stream emerges or formerly did so,where
HAS_SIZE,generally short,
HAS_FORM,ending abruptly upstream,
HAS_SIZE,less than about 1em in diameter,in diameter
HAS_FORM,"long , thin-walled tubular",
HAS_LOCATION,the uppermost layers of rock below the soil on a karst,below
HAS_CAUSE,as a result of the presence of many solutionally enlarged fissures,as a result of
HAS_FUNCTION,by a higher porosity and storage capacity for water,
COMPOSITION_MEDIUM,on a karst,
COMPOSITION_MEDIUM,developed in soluble beds,developed in
HAS_LOCATION,underlying other rock formations,underlying
HAS_LOCATION,in a cave passage when the water meets the roof,in a
HAS_LOCATION,in a streambed,in a
COMPOSITION_MEDIUM,in rock,in
HAS_CAUSE,"eroded by eddying water , with or without sand or pebble tools",
OCCURS_IN_TIME,when the evolution of karst features has taken place at the same time as the lithification of dune sand,when
COMPOSITION_MEDIUM,developed in aeolian calcarenite,developed in
HAS_FORM,roughly hemispherical hollows,
HAS_LOCATION,either at the surface or in caves,at the|in
HAS_CAUSE,weathered in rock,
HAS_FUNCTION,which may be followed from entrance to exit along a stream course or along a passage which formerly carried a stream,which may be
CONTAINS,there my be alluvial plains between the towers and flat-floored depressions within them,
HAS_FORM,in which the residual hills have very steep to overhanging lower slopes,
MEASURES,introduced into surface or underground water where it disappears or into soil to determine drainage interconnections and travel time,to determine
